time,num
2017-04-25T00:00:00.000Z,5330344
2017-04-24T00:00:00.000Z,5044860
2017-04-23T00:00:00.000Z,3673665
2017-04-22T00:00:00.000Z,6142587
2017-04-21T00:00:00.000Z,4681070
2017-04-20T00:00:00.000Z,5091361
2017-04-19T00:00:00.000Z,5378748
2017-04-18T00:00:00.000Z,5024232
2017-04-17T00:00:00.000Z,7692154
2017-04-16T00:00:00.000Z,2987770
2017-04-15T00:00:00.000Z,2818458
2017-04-14T00:00:00.000Z,4541274
2017-04-13T00:00:00.000Z,5324476
2017-04-12T00:00:00.000Z,5347491
2017-04-11T00:00:00.000Z,5660049
2017-04-10T00:00:00.000Z,5368960
2017-04-09T00:00:00.000Z,3813208
2017-04-08T00:00:00.000Z,6361924
2017-04-07T00:00:00.000Z,5221601
2017-04-06T00:00:00.000Z,5650837
2017-04-05T00:00:00.000Z,5403905
2017-04-04T00:00:00.000Z,5032102
2017-04-03T00:00:00.000Z,5268183
2017-04-02T00:00:00.000Z,3825620
2017-04-01T00:00:00.000Z,6414892
2017-03-31T00:00:00.000Z,5185982
2017-03-30T00:00:00.000Z,5162176
2017-03-29T00:00:00.000Z,4938720
2017-03-28T00:00:00.000Z,5294012
2017-03-27T00:00:00.000Z,5079641
2017-03-26T00:00:00.000Z,3755557
2017-03-25T00:00:00.000Z,6291755
2017-03-24T00:00:00.000Z,4960725
2017-03-23T00:00:00.000Z,5358828
2017-03-22T00:00:00.000Z,5596757
2017-03-21T00:00:00.000Z,5528344
2017-03-20T00:00:00.000Z,5362871
2017-03-19T00:00:00.000Z,3446635
2017-03-18T00:00:00.000Z,3415112
2017-03-17T00:00:00.000Z,6746024
2017-03-16T00:00:00.000Z,5982149
2017-03-15T00:00:00.000Z,6211430
2017-03-14T00:00:00.000Z,7710422
2017-03-13T00:00:00.000Z,4938597
2017-03-12T00:00:00.000Z,3539683
2017-03-11T00:00:00.000Z,6016579
2017-03-10T00:00:00.000Z,4561839
2017-03-09T00:00:00.000Z,4679035
2017-03-08T00:00:00.000Z,4762737
2017-03-07T00:00:00.000Z,4602862
2017-03-06T00:00:00.000Z,4387871
2017-03-05T00:00:00.000Z,3323104
2017-03-04T00:00:00.000Z,5757118
2017-03-03T00:00:00.000Z,6896918
2017-03-02T00:00:00.000Z,6380366
2017-03-01T00:00:00.000Z,4168371
2017-02-28T00:00:00.000Z,4269788
2017-02-27T00:00:00.000Z,4191734
2017-02-26T00:00:00.000Z,2881183
2017-02-25T00:00:00.000Z,5337414
2017-02-24T00:00:00.000Z,7833660
2017-02-23T00:00:00.000Z,4118409
2017-02-22T00:00:00.000Z,4037768
2017-02-21T00:00:00.000Z,3918573
2017-02-20T00:00:00.000Z,3485765
2017-02-19T00:00:00.000Z,2648970
2017-02-18T00:00:00.000Z,5438169
2017-02-17T00:00:00.000Z,8544400
2017-02-16T00:00:00.000Z,7254970
2017-02-15T00:00:00.000Z,8193769
2017-02-14T00:00:00.000Z,6634784
2017-02-13T00:00:00.000Z,6688573
2017-02-12T00:00:00.000Z,5483575
2017-02-11T00:00:00.000Z,5611685
2017-02-10T00:00:00.000Z,6797562
2017-02-09T00:00:00.000Z,6767518
2017-02-08T00:00:00.000Z,6878086
2017-02-07T00:00:00.000Z,6658035
2017-02-06T00:00:00.000Z,9112598
2017-02-05T00:00:00.000Z,5407014
2017-02-04T00:00:00.000Z,5229761
2017-02-03T00:00:00.000Z,6213114
2017-02-02T00:00:00.000Z,6283293
2017-02-01T00:00:00.000Z,6438158
2017-01-31T00:00:00.000Z,6368455
2017-01-30T00:00:00.000Z,6494165
2017-01-29T00:00:00.000Z,5215038
2017-01-28T00:00:00.000Z,5301809
2017-01-27T00:00:00.000Z,7348375
2017-01-26T00:00:00.000Z,8875816
2017-01-25T00:00:00.000Z,6529155
2017-01-24T00:00:00.000Z,6633710
2017-01-23T00:00:00.000Z,6148488
2017-01-22T00:00:00.000Z,5279768
2017-01-21T00:00:00.000Z,5198924
2017-01-20T00:00:00.000Z,6574924
2017-01-19T00:00:00.000Z,7782133
2017-01-18T00:00:00.000Z,8699967
2017-01-17T00:00:00.000Z,3386655
2017-01-16T00:00:00.000Z,3399208
2017-01-15T00:00:00.000Z,5098783
2017-01-14T00:00:00.000Z,8451276
2017-01-13T00:00:00.000Z,9137660
2017-01-12T00:00:00.000Z,7204421
2017-01-11T00:00:00.000Z,8910973
2017-01-10T00:00:00.000Z,9426818
2017-01-09T00:00:00.000Z,10911824
2017-01-08T00:00:00.000Z,5056344
2017-01-07T00:00:00.000Z,2766834
2017-01-06T00:00:00.000Z,3811512
